California - 51st District,DEM,Juan Vargas,"108,932",71.90%,REP,Juan Hidalgo,"42,676",28.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 52nd District,DEM,Scott Peters,"148,651",56.40%,REP,Denise Gitsham,"115,013",43.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 53rd District,DEM,Susan Davis,"151,269",66.10%,REP,James Veltmeyer,"77,436",33.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 1st District,DEM,Diana DeGette,"193,589",67.90%,REP,Charles Stockham,"80,926",28.40%,Other,Darrell Dinges,"10,802",3.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 2nd District,DEM,Jared Polis,"251,988",56.80%,REP,Nicholas Morse,"166,020",37.40%,Other,Richard Longstreth,"25,858",5.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 3rd District,REP,Scott Tipton,"191,917",54.60%,DEM,Gail Schwartz,"142,794",40.60%,Other,Gaylon Kent,"16,996",4.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 4th District,REP, Ken Buck,"241,424",63.80%,DEM,Bob Seay,"119,249",31.50%,Other,Bruce Griffith,"17,925",4.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 5th District,REP,Doug Lamborn,"222,169",62.40%,DEM,Misty Plowright,"109,573",30.80%,Other,Mike McRedmond,"24,320",6.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 6th District,REP,Mike Coffman,"180,727",51.30%,DEM,Morgan Carroll,"149,417",42.40%,Other,Norm Olsen,"17,102",4.90%,Other,Robert Lee Worthey,"5,038",1.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 7th District,DEM,Ed Perlmutter,"185,208",55.20%,REP,George Athanasopoulos,"134,244",40%,Other,Martin Buchanan,"15,831",4.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 1st District,DEM,John Larson,"193,040",63.60%,REP,Matthew Corey,"104,214",34.30%,Other,Michael DeRosa,"6,283",2.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 2nd District,DEM,Joe Courtney,"207,584",63%,REP,Daria Novak,"111,587",33.90%,Other,Jonathan Pelto,"5,332",1.60%,Other,Daniel Reale,"5,016",1.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 3rd District,DEM,Rosa DeLauro,"208,900",68.70%,REP,Angel Cadena,"95,370",31.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 4th District,DEM,Jim Himes,"185,928",60.10%,REP,John Shaban,"123,630",39.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut - 5th District,DEM,Elizabeth Esty,"174,788",57.90%,REP,Clay Cope,"126,842",42.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
