Florida - 20th District,DEM,Alcee Hastings,"128,217",81.60%,REP,Jay Bonner,"28,900",18.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 21st District,DEM,Ted Deutch,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 22nd District,DEM,Lois Frankel,"125,071",58%,REP,Paul Spain,"90,452",42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 23rd District,DEM,Debbie Wasserman Schultz,"103,034",62.60%,REP,Joe Kaufman,"61,428",37.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 24th District,DEM,Frederica Wilson,"129,065",86.20%,REP,Dufirstson Neree,"15,220",10.20%,Other,Luis Fernandez,"5,480",3.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 25th District,REP,Mario Diaz-Balart,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 26th District,REP,Carlos Curbelo,"82,780",51.50%,DEM,Joe Garcia,"77,958",48.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 27th District,REP,Ileana Ros-Lehtinen,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 1st District,REP,Buddy Carter,"93,882",61.20%,DEM,Brian Reese,"59,594",38.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 2nd District,DEM,Sanford Bishop,"96,215",59.10%,REP,Gregory Duke,"66,474",40.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 3rd District,REP,Lynn Westmoreland,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 4th District,DEM,Hank Johnson,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 5th District,DEM,John Lewis,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 6th District,REP,Tom Price,"138,616",66.10%,DEM,Robert Montigel,"71,140",33.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 7th District,REP,Rob Woodall,"113,260",65.50%,DEM,Thomas Wight,"59,740",34.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 8th District,REP,Austin Scott,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 9th District,REP,Doug Collins,"145,856",80.70%,DEM,David Vogel,"34,866",19.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 10th District,REP,Jody Hice,"130,572",66.50%,DEM,Ken Dious,"65,676",33.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 11th District,REP,Barry Loudermilk,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 12th District,REP, Rick Allen,"90,987",54.80%,DEM,John Barrow,"75,123",45.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 13th District,DEM,David Scott,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 14th District,REP,Tom Graves,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii - 1st District,DEM,Mark Takai,"93,331",51.90%,REP,Charles Djou,"86,409",48.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii - 2nd District,DEM,Tulsi Gabbard,"141,978",78.70%,REP,Kawika Crowley,"33,621",18.60%,Other,Joe Kent,"4,691",2.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa - 1st District,REP,Rod Blum,"147,153",51.20%,DEM,Pat Murphy,"140,086",48.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa - 2nd District,DEM,Dave Loebsack,"142,566",52.50%,REP,Mariannette Miller-Meeks,"129,157",47.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa - 3rd District,REP,David Young,"148,652",52.90%,DEM,Staci Appel,"118,938",42.30%,Other,Edward Wright,"9,038",3.20%,Other,Bryan Holder,"4,352",1.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa - 4th District,REP,Steve King,"169,141",61.70%,DEM,Jim Mowrer,"104,873",38.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho - 1st District,REP,Raul Labrador,"143,558",65%,DEM,Shirley Ringo,"77,352",35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho - 2nd District,REP,Mike Simpson,"131,465",61.40%,DEM,Richard Stallings,"82,728",38.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 1st District,DEM,Bobby Rush,"151,566",72.20%,REP,Jimmy Lee Tillman,"58,333",27.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 2nd District,DEM,Robin Kelly,"152,905",78%,REP,Eric Wallace,"43,039",22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
