Iowa - 3rd District,REP,Tom Latham,"201,457",52.30%,DEM,Leonard Boswell,"167,965",43.60%,Other,Scott Batcher,"9,319",2.40%,Other,David Rosenfeld,"6,261",1.60%
Iowa - 4th District,REP,Steve King,"200,831",53.20%,DEM,Christie Vilsack,"168,323",44.60%,Other,Martin Monroe,"8,067",2.10%
Idaho - 1st District,REP,Raul Labrador,"199,445",64.50%,DEM,Jimmy Farris,"97,403",31.50%,Other,Rob Oates,"12,264",4%
Idaho - 2nd District,REP,Mike Simpson,"207,244",65.20%,DEM,Nicole LeFavour,"110,817",34.80%
Illinois - 1st District,DEM,Bobby Rush,"225,098",73.80%,REP,Donald Peloquin,"79,947",26.20%
Illinois - 2nd District,DEM,Jesse Jackson,"181,067",63%,REP,Brian Woodworth,"67,396",23.50%,Other,Marcus Lewis,"38,733",13.50%
Illinois - 3rd District,DEM,Daniel Lipinski,"160,925",68.40%,REP,Richard Grabowski,"74,357",31.60%
Illinois - 4th District,DEM,Luis Gutierrez,"128,385",83.30%,REP,Hector Concepcion,"25,749",16.70%
Illinois - 5th District,DEM,Mike Quigley,"168,530",65.60%,REP,Dan Schmitt,"73,860",28.70%,Other,Nancy Wade,"14,555",5.70%
Illinois - 6th District,REP,Peter Roskam,"191,255",59.20%,DEM,Leslie Coolidge,"131,548",40.80%
Illinois - 7th District,DEM,Danny Davis,"224,377",84.60%,REP,Rita Zak,"29,164",11%,Other,John Monaghan,"11,550",4.40%
Illinois - 8th District,DEM,Tammy Duckworth,"121,298",54.70%,REP,Joe Walsh,"100,360",45.30%
Illinois - 9th District,DEM,Janice Schakowsky,"179,468",66.10%,REP, Timothy Wolfe,"91,842",33.90%
Illinois - 10th District,DEM,Brad Schneider,"130,941",50.50%,REP,Robert Dold,"128,423",49.50%
Illinois - 11th District,DEM,Bill Foster,"139,860",58.10%,REP,Judy Biggert,"101,010",41.90%
Illinois - 12th District,DEM,William Enyart,"154,621",51.50%,REP,Jason Plummer,"128,582",42.90%,Other,Paula Bradshaw,"16,747",5.60%
Illinois - 13th District,REP,Rodney Davis,"136,596",46.60%, DEM,David Gill,"135,309",46.20%,Other,John Hartman,"21,241",7.20%
Illinois - 14th District,REP,Randall Hultgren,"176,426",58.80%,DEM,Dennis Anderson,"123,724",41.20%
Illinois - 15th District,REP,John Shimkus,"203,500",68.90%,DEM,Angela Michael,"92,067",31.10%
Illinois - 16th District,REP,Adam Kinzinger,"179,867",61.90%,DEM,Wanda Rohl,"110,828",38.10%
Illinois - 17th District,DEM,Cheri Bustos,"148,229",53.30%,REP,Bobby Schilling,"129,970",46.70%
Illinois - 18th District,REP,Aaron Schock,"243,295",74.20%,DEM,Steve Waterworth,"84,544",25.80%
Indiana - 1st District,DEM,Peter Visclosky,"187,347",67.30%,REP,Joel Phelps,"91,072",32.70%
Indiana - 2nd District,REP,Jackie Walorski,"133,806",49%,DEM,Brendan Mullen,"129,977",47.60%,Other,Joseph Ruiz,"9,313",3.40%
Indiana - 3rd District,REP,Marlin Stutzman,"187,610",67.10%,DEM,Kevin Boyd,"92,179",32.90%
Indiana - 4th District,REP,Todd Rokita,"168,510",61.90%,DEM,Tara Nelson,"92,974",34.20%,Other,Benjamin Gehlhausen,"10,553",3.90%
Indiana - 5th District,REP,Susan Brooks,"194,446",58.40%,DEM,Scott Reske,"125,229",37.60%,Other,Chard Reid,"13,429",4%
Indiana - 6th District,REP,Luke Messer,"162,519",59.10%,DEM,Bradley Bookout,"96,627",35.10%,Other,Rex Bell,"15,954",5.80%
Indiana - 7th District,DEM,Andre Carson,"161,424",62.80%,REP,Carlos May,"95,524",37.20%
Indiana - 8th District,REP,Larry Bucshon,"151,416",53.40%,DEM,Dave Crooks,"122,245",43.10%,Other,Bart Gadau,"10,125",3.60%
Indiana - 9th District,REP,Todd Young,"157,689",56.30%,DEM,Shelli Yoder,"122,189",43.70%
Kansas - 1st District,REP,Tim Huelskamp,Uncontested race
Kansas - 2nd District,REP,Lynn Jenkins,"161,476",57%,DEM,Tobias Schlingensiepen,"110,075",38.80%,Other,Dennis Hawver,"11,956",4.20%
Kansas - 3rd District,REP,Kevin Yoder,"197,266",68.60%,Other,Joel Balam,"90,391",31.40%
Kansas - 4th District,REP,Mike Pompeo,"158,212",62.50%,DEM,Robert Tillman,"79,480",31.40%,Other,Thomas Jefferson,"15,587",6.20%
Kentucky - 1st District,REP,Ed Whitfield,"199,951",69.60%,DEM,Charles Hatchett,"87,196",30.40%
Kentucky - 2nd District,REP,Brett Guthrie,"181,507",64.30%,DEM,David Williams,"89,541",31.70%,Other,Andrew Beacham,"6,304",2.20%,Other,Craig Astor,"4,914",1.70%
Kentucky - 3rd District,DEM,John Yarmuth,"206,368",64%,REP,Brooks Wicker,"111,446",34.50%,Other,Robert DeVore,"4,819",1.50%
Kentucky - 4th District,REP,Thomas Massie,"186,026",61.90%,DEM,William Adkins,"104,730",34.90%,Other,David Lewis,"9,757",3.20%
Kentucky - 5th District,REP,Harold Rogers,"194,483",78.20%,DEM,Kenneth Stepp,"54,181",21.80%
Kentucky - 6th District,REP,Garland Barr,"153,221",50.60%,DEM,Ben Chandler,"141,436",46.70%,Other,Randolph Vance,"8,340",2.80%
Louisiana - 1st District,REP,Steve Scalise,"193,331",66.60%,DEM,Vinny Mendoza,"61,920",21.30%,REP,Gary King,"24,808",8.50%,Other,David Turknett,"6,057",2.10%,Other,Arden Wells,"4,280",1.50%
Louisiana - 2nd District,DEM,Cedric Richmond,"158,184",55.20%,DEM,Gary Landrieu,"71,761",25%,REP,Dwayne Bailey,"38,748",13.50%,REP,Josue Larose,"11,329",4%,Other,Caleb Trotter,"6,778",2.40%
Louisiana - 3rd District, REP,Charles Boustany,"139,113",44.70%,REP,Jeff Landry,"93,524",30%,DEM,Ron Richard,"67,058",21.50%,REP,Bryan Barrilleaux,"7,907",2.50%,Other,Jim Stark,"3,764",1.20%,This race will be decided in a future runoff
